user_id,sex,job.title,organization,annual.salary,age,question,question_keywords,topic_keywords,X,Y,Z
26,Male,Firefighter (E),AFR Atlanta Fire & Recuse,35785.83,51,Как называется вращающаяся часть паровой машины? Какие механизмы используют для передачи вращения с высокоскоростных паровых турбин на другие устройства с более низкой скоростью? Как называется совокупность неподвижной и вращающейся решеток в паровой машине? Как называется неподвижная часть в паровой машине?,"называется, вращающаяся, часть",году,915,920,479
27,Male,Fire Sergeant (E),AFR Atlanta Fire & Recuse,50841.03,51,Какие должны быть комиссионные сборы у биржи и брокера? Что является одним из необходимых условий реализации такой стратегии? Где наиболее распространен скальпинг? За чем нужно постоянно следить?,"должны, комиссионные, сборы",не определены,683,583,33
28,Female,Environmental Service Worker I (D),DPW Department of Public Works,25461.01,28,Какой халиф передал управление Дербентом Абд ар-Рахману ибн Раби’а? В каком году арабы захватили Дербент? У чьих ворот появились арабские отряды в 642/643 году? С нашествием кого связан новый этап развития города Дербента?,"халиф, передал, управление",не определены,959,477,302
29,Male,Electrician Specialist,DOA Department of Aviation,56407.51,51,"Когда вышел роман Тарантул ? Когда вышел альбом New Morning ? Куда пошли сборы с концерта, который устроил Джордж Харрисон? Каким был по счету New Morning ?","вышел, роман, альбом",не определены,396,212,925
30,Female,Facilities Maintenance Mechanic (D),"PRC Parks, Recreation, & Cultural Affairs",32055.84,35,Кому предоставляет консультационные услуги Gartner? Какие основные направления консультационных услуг Gartner можно назвать?,"предоставляет, консультационные, услуги",не определены,930,50,318
31,Male,Urban Planner I,PCD Planning & Community Development,41651.67,28,Может ли данный вид детектива несколько отступать от классических канонов ? Какая существует школа психологического детектива? В части чего данный вид детектива может несколько отступать от классических канонов?,"данный, вид, детектива",не определены,448,375,798
32,Female,Corrections Officer (E),COR Department of Corrections,42807.23,61,"Что послужило основой большого глобуса, построенного в Дрогобуже? Каково местоположение огромного глобуса в городе Дрогобуже? Под чьим руководством осуществлялась роспись громадного глобуса города Дрогобужа? Каков вес глобуса, сооруженного в городе Дрогобуже в 2007 году? В каком городе в 2007 году был построен огромный глобус?","послужило, основой, большого",году,977,42,102
33,Male,Pension Administrator,DHR Department of Human Reources,62720.0,60,Общим предком Льва Толстого и Пушкина был кто? Кто приходился ему троюродным братом? Кто был среди двоюродных братьев и сестёр отца? Где писатель имел обширные родственные связи? Кто был среди двоюродных братьев матери?,"общим, предком, приходился",не определены,928,458,38
34,Female,Recreation Operations Assistant,"PRC Parks, Recreation, & Cultural Affairs",26703.01,34,"Как переводится выражение a foregone conclusion ? Чему способствовал Шекспир? В чьи времена английские грамматика, правописание и произношение были менее стандартизированы, чем в наши дни? В каком сочинении Сэмюэл Джонсон цитировал Шекспира? Чей язык способствовал формированию современного английского? В какие времена английские грамматика, правописание и произношение были менее стандартизированы, чем в наши дни? Самый цитируемый Сэмюэлом Джонсоном автор в A Dictionary of the English Language ?","переводится, выражение, способствовал","шекспира, году",74,230,825
35,Male,Performance & Operations Consultant,EXE Executive Offices,85000.01,29,Какой предмет входил в опорный костяк предметов в гимназиях? какая реформа повысила массовость изучения математики? Кто описывал содержание реформы? Как описывает изменение курса математики в реформе 1871 А. А. Корнилов?,"предмет, входил, опорный","такое, лавкрафт",137,845,993
36,Male,Network Engineer,DIT Department of Information Technology,75000.02,47,"Какие портреты принадлежат русской знати? В коком жанре пробовал себя художник, расписывая лютеранскую церковь на Невском проспекте? К числу наиболее удачных и известных работ относятся портреты Музей брата А. П. Брюллова 1841 В каком городе упрочивалась слава Брюллова как виртуозного модного портретиста?","портреты, принадлежат, русской",не определены,382,503,225
37,Male,Plant Maintenance Supervisor (D),DWM Department of Watershed Management,52542.1,49,Сколько батальонов пехоты шло впереди траурной процессии? Когда умер Джоаккино Россини? Сколько народу посетило заупокойную мессу?,"батальонов, пехоты, шло",не определены,432,922,814
38,Male,Gardener,"PRC Parks, Recreation, & Cultural Affairs",30908.61,48,Кто выступал против принятого в Нидерландах варианта нидерландского языка? Известные бельгийские поэты? На каком диалекте написаны стихи Гвидо Гезелле? Против чего выступал Гвидо Гезелле? На каком языке писал Морис Метерлинк?,"выступал, принятого, варианта","группы, году, группа",426,680,444
39,Male,Police Sergeant (E) (F) (O) (B) (S),APD Atlanta Police Department,67535.69,48,"Какая была самая минимальная температура в западноевропейский питомников расположены в зонах 6 или 7? В каких зонах расположился западноевропейский питомник? Кто составил полную сводку древесных интродуцентов после Редера? В какой зоне находится большая часть территории Голландии, Бельгии, Франции и Англии? Какая изотерма соответствует окрестностям Санкт-Петербурга?","самая, минимальная, температура",году,925,454,366
40,Female,Corrections ID Technician (D),COR Department of Corrections,32638.17,53,"В каком году Дэвид Боуи перешел к реальным инструментам? В каком возрасте Дэвид Боуи организовал свою первую группу? В какую команду перешел Дэвид Боуи, покинув The Kon-rads? Как называлась первая группа Дэвида Боуи? Какую работу нашла мать для Дэвида Боуи?","году, перешел, реальным","году, боуи, поэтики",766,323,880
41,Male,Corrections Officer (E),COR Department of Corrections,48684.48,54,"Когда жил Гомер по словам Геродота? Когда жил Гомер , согласно другим древним источникам? Какой хронологический период, в котором локализует жизнь Гомера современная наука? Когда были созданы Илиада и Одиссея ? Когда жил Гомер по версии неизвестного историка?","жил, словам, другим",не определены,678,609,125
42,Male,"Zoning Inspector, Sr",PCD Planning & Community Development,50220.52,51,Кто сделал новаторство формой искусства? Где хотел прославиться Боуи? На кого был похож Сид Барретт? Кто привил идею Дэвиду новаторство в рок-музыке? Кто повлиял на творческий стиль Боуи?,"сделал, новаторство, формой",не определены,991,681,987
43,Male,Watershed Operations Coordinator,DWM Department of Watershed Management,58747.1,47,"Кто считал, в позиции нейтрализации нет возможности говорить о фонеме, и в таковой выступает некоторая единица более высокого уровня — архифонема? Что понимается как отсутствие использования определенных противопоставлений фонем в определенных позициях? Противопоставление чего в некоторых позициях по тому или иному дифференциальному признаку не осуществляется? Что обуславливают несколько собственно фонологических явлений? Какие позиции, будь они изолированными или же соотносительными, определяются как слабые?","считал, позиции, нейтрализации",году,426,514,889
44,Female,"Human Resources, Deputy Commissioner",DHR Department of Human Reources,150000.01,49,Кто был ранним пионером в слиянии африканских и джазовых форм? В рамках какого оркестра мир узнал саксофониста/композитора Джона Зорна и его исследования еврейской музыкальной культуры? В записях какого флейтиста можно услышать пример работы с музыкальными инструментами Индии? Кто появился в качестве ведущего сторонника конвергенции джазовых и азиатских музыкальных форм?,"ранним, пионером, слиянии",году,851,214,827
45,Male,"Laboratory Technician, Sr (D)",DWM Department of Watershed Management,41059.06,63,Что в мире существ может быть выявлено? В количестве скольких организаций претендуют на объективность методов? Когда углубились проблемы? Какие проедуры не дали результаты? В связи с чем ухудшелось полежение?,"мире, существ, выявлено",не определены,465,90,461
46,Male,Accounting Technical Specialist,DOF Department of Finance,37777.51,25,Как называется прибыль в виде разницы между себестоимостью изготовления и поддержания обращения денежных знаков и их номиналом? На сколько на практике уменьшается величина сеньоража? На изготовление и поддержание обращения каких денежных знаков требуются затраты? При каких условиях может существовать сеньораж?,"называется, прибыль, виде",году,215,972,177
47,Female,"Programmer Analyst, Sr",DWM Department of Watershed Management,67000.0,50,За счет чего поддерживались экономика и социальный сектор Алтайского края? Сколько социальных объектов было построено за счёт Семипалатинской программы по компенсации ущерба от испытаний на ядерном полигоне? Какой процент бюджета края составлял бюджет Семипалатинской программы? В каком году была начата газификация региона?,"счет, поддерживались, экономика","объектами, является, являются",458,6,646
48,Female,Water Service Representative,DWM Department of Watershed Management,34617.02,25,Какими видами рыб ограничивается численность окуня? Какой вес достигает речного окуня в первые годы? Каких размер достигает окунь в Австралии? Где было замечено вырождение популяций окуня? От чего зависит темп роста окуней?,"видами, рыб, ограничивается",не определены,113,742,106
49,Male,Desk Top Support Technician,DWM Department of Watershed Management,52369.82,64,"Какие самые глубокие части Земли, недоступные для непосредственного изучения? Чем сопровождается мантийная конвекция? Как называются самые глубокие части Земли, оказывающие огромное влияние на процессы, идущие на поверхности планеты? Как теплофизический подход рассматривает Землю? Чьими уравнениями описывается движение вещества во внутренних слоях Земли?","самые, глубокие, части",году,997,549,220
50,Male,Electrician (D),DPW Department of Public Works,35355.65,64,Когда Форум стал площадкой для борьбы отдельных политиков? Как диктатор Сулла назвал новую курию? Какой храм возвёл на месте курии Гай Юлий Цезарь? Когда на Форуме стали всё больше возводиться статуи и монументы? Какой диктатор построил на месте курии Гостилия новую курию?,"стал, площадкой, борьбы",году,957,518,709
51,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,34726.37,53,"Сколько лет составляет время обращения звёзд вокруг ядра галактики ? Сколько может существовать спираль, как область повышенной плотности вещества в диске спиральной галактики? Чем объясняется парадокс? Что делают звезды когда входят в область, занимаемую спиральным рукавом, на некоторое время замедляют своё движение в этой области ?","лет, составляет, время",году,249,269,613
52,Male,Fire Captain (E),AFR Atlanta Fire & Recuse,55279.3,49,Что произошло после после пика популярности? Когда венчурные капиталисты интересовались стартапами чистых техологий? Что относится к области чистых технологий? До скольки сократился средний размер посевного раунда? Какие области чистых технологий были популярны в 2006-2008?,"произошло, пика, популярности",году,641,297,963
53,Male,"Custodian, Sr (D)",DPW Department of Public Works,33110.06,57,Каким качеством обладают как любительские так и профессиональные кинопленки? Сколько составляет узкий формат кинопленки? Какую расшифровку имеет D на кинопленке дневного света? Кинопленки каких форматов использует кинематограф?,"качеством, обладают, любительские","такое, лавкрафт",454,586,363
54,Female,City Council Member,CCN City Council,60300.01,62,"Какая площадь участков отведена для жилищного строительства? Сколько времени не работал фонтан в парке Шинник ? К какому праздику благоустроили Воронеж ? Какая общая площадь земельных участков, предоставленных для строительства в 2009 году? Какой парк бил реконструирован?","площадь, участков, отведена",году,435,312,433
55,Male,Construction Project Manager,EXE Executive Offices,72900.01,49,Что такое энергетические станции клетки ? Какую структуру имеют митохондрии? С использованием чего происходит синтез АТФ? Как отделены митохондрии от цитоплазмы?,"энергетические, станции, клетки",не определены,962,766,498
56,Male,Police Investigator (E) (F) (O),APD Atlanta Police Department,59005.86,42,"Исследования чего, несмотря на потерю связи с обоими КА, были выполнены на этапе орбитального движения Фобоса-2 вокруг Марса? Когда была запущена первая АМС Фобос-1 ? В течение скольких дней были выполнены исследования Марса, Фобоса и околомарсианского пространства на этапе орбитального движения Фобоса-2 вокруг Марса? Когда была запущена вторая АМС Фобос-2 ? Какие спускаемые аппараты должны были доставить на поверхность Фобоса аппараты Фобос-1 и Фобос-2 ?","исследования, потерю, связи",году,517,511,724
57,Male,Audit Manager,DWM Department of Watershed Management,65641.08,64,Где было запущено производство киноплёнки ? Под каким брендом в США была освоена немецкая технология? В каком году Kodak освоил выпуск цветных негативной и позитивной киноплёнок? Что послужило основой при налаживании собственного производства плёнки ? в каком году было запущено производство киноплёнки?,"запущено, производство, киноплёнки",году,175,136,33
58,Male,Watershed Plant Operator Class I (D),DWM Department of Watershed Management,46264.51,55,С какого года Закон о Банке Канады часто изменялся? Какие бюро стали агентствами Банка Канады? Когда Банк Канады стал государственным учреждением? Какой Банк в 1938 стал государственным учреждением?,"года, изменялся, бюро",не определены,74,260,473
59,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,39327.6,39,"Кто является партнерами АБТ-ACTE Russia? В числе каких направлений деятельности ассоциации — развитие собственной программы аттестации в области гостиничных услуг Аттестация Бизнес- и Конференц-отелей ? В каком году была создана программа Аттестации бизнес- и конференц-отелей ? Кто проводит инспекцию гостиниц по определенным критериям? Членами какой организации являются тревел-менеджеры, административные директора и специалисты по закупкам международных и российских корпораций?","является, партнерами, числе",году,237,643,82
60,Male,Police Officer (E) (F) (O) (B) (S),APD Atlanta Police Department,42762.72,34,В качестве какого действия может выступать молчание? Какое правило существует в договоре аренды? Каким образом выражается воля арендодателя на продолжение арендных отношений при автоматической пролонгации? Чем предусматриваются случаи автоматической пролонгации? На какой срок договор считается возобновленным на тех же условиях при автоматической пролонгации? на неопределенный срок,"качестве, действия, выступать",году,834,681,167
61,Male,Firefighter (E),AFR Atlanta Fire & Recuse,32132.8,33,"Через сколько миллиардов лет Солнце станет красным гигантом? Когда Солнце превратится в красного гиганта? Почему растет светимость солнца? К чему приведет рост светимости Солнца на спутниках Юпитера? Какой может стать температура верхних слоев Юпитера? На сколько возрастает светимость солнца? Как называется новый класс планет, в который перейдет Юпитер при сближении с Солнцем? Увеличение яркости Солнца разогреет спутники какой планеты? До скольки миллионов км с 765 сократится расстояние между Солнцем и газовым гигантом Юпитером?","миллиардов, лет, станет",году,844,266,695
62,Male,IT Manager,DWM Department of Watershed Management,82435.16,48,"C чем связано древнейшее представление о Посейдон? От чего, как считали древние, происходят землетрясения? Чему дает начало Посейдон? Богом чего был первоначально Посейдон, согласно Бетти Редис","связано, древнейшее, представление",не определены,228,787,896
63,Male,Watershed Manager II,DWM Department of Watershed Management,84698.74,54,Какой инструмент создал музыкант и предприниматель Пол Тутмарк? В каком году музыкант и предприниматель Пол Тутмарк создал Электронный бас Аудиовокс № 736? Какие черты современной бас-гитары содержал в себе Электронный бас Аудиовокс № 736 Какая фирма производила бас-мандолину Гибсон Мандо-бас?,"инструмент, создал, музыкант",году,760,896,542
